32.3,0.002
32.3,0
32.56,0.132
32.56,0.026
32.56,0.011
32.56,0.002
32.82,0.139
32.82,0.01
32.82,0.02
32.82,0.002
33.08,0.043
33.08,0.03
33.08,0.023
33.08,0.001
33.34,0.133
33.34,0.024
33.34,0.009
33.34,0.003
33.6,0.143
33.6,0.016
33.6,0.008
33.6,0.002
33.85,0.038
33.85,0.007
33.85,0.014
33.85,0.001
34.1,0.155
34.1,0.002
34.1,0.009
34.1,0.003
34.35,0.12
34.35,0.002
34.35,0.008
34.35,0.001
34.6,0.142
34.6,0.009
34.6,0.005
34.6,0.001
34.85,0.04
34.85,0.008
34.85,0.002
34.85,0
35.09,0.115
35.09,0.002
35.09,0.006
35.09,0
35.33,0.05
35.33,0.007
35.33,0.002
35.33,0.001
35.57,0.041
35.57,0.01
35.57,0.003
35.57,0.001
35.81,0.049
35.81,0.006
35.81,0.012
35.81,0.003
36.04,0.042
36.04,0.003
36.04,0.017
36.04,0.003
36.27,0.006
36.27,0.001
36.27,0.008
36.27,0.002
36.5,0.053
36.5,0.008
36.5,0.003
36.5,0.002
36.72,0.063
36.72,0.011
36.72,0.002
36.72,0.002
36.95,0.035
36.95,0.002
36.95,0.002
36.95,0
37.17,0.126
37.17,0.002
37.17,0.016
37.17,0.001
37.39,0.263
37.39,0.003
37.39,0.016
37.39,0.001
37.6,0.082
37.6,0.002
37.6,0.013
37.6,0
37.81,0.062
37.81,0.002
37.81,0.016
37.81,0.001
38.02,0.03
38.02,0.014
38.02,0.003
38.02,0.001
38.23,0.173
38.23,0.003
38.23,0.016
38.23,0.003
38.43,0.218
38.43,0.007
38.43,0.02
38.43,0.003
38.63,0.138
38.63,0.016
38.63,0.003
38.63,0.002
38.83,0.083
38.83,0.01
38.83,0.011
38.83,0.003
39.02,0.102
39.02,0.013
39.02,0.006
39.02,0.002
39.21,0.017
39.21,0.021
39.21,0.01
39.21,0.001
39.4,0.025
39.4,0.004
39.4,0.014
39.4,0.002
39.58,0.1
39.58,0.023
39.58,0.013
39.58,0.004
39.76,0.106
39.76,0.006
39.76,0.029
39.76,0.002
39.94,0.019
39.94,0.012
39.94,0.006
39.94,0
40.11,0.021
40.11,0.014
40.11,0.03
40.11,0.002
40.28,0.039
40.28,0.014
40.28,0.006
40.28,0.001
40.45,0.041
40.45,0.009
40.45,0.026
40.45,0.005
40.61,0.213
40.61,0.004
40.61,0.025
40.61,0.004
40.77,0.259
40.77,0.009
40.77,0.008
40.77,0.002
40.93,0.087
40.93,0.009
40.93,0.028
40.93,0.003
41.08,0.227
41.08,0.003
41.08,0.013
41.08,0.003
41.23,0.043
41.23,0.002
41.23,0.01
41.23,0.001
41.37,0.057
41.37,0.009
41.37,0.004
41.37,0
41.51,0.048
41.51,0.008
41.51,0.014
41.51,0
41.64,0.1
41.64,0.022
41.64,0.005
41.64,0.001
41.77,0.082
41.77,0.003
41.77,0.002
41.77,0
41.9,0.105
41.9,0.01
41.9,0.009
41.9,0.001
42.02,0.047
42.02,0.007
42.02,0.006
42.02,0.001
42.14,0.133
42.14,0.012
42.14,0.004
42.14,0
42.25,0.127
42.25,0.011
42.25,0.007
42.25,0.001
42.36,0.04
42.36,0.012
42.36,0.003
42.36,0.002
42.47,0.083
42.47,0.027
42.47,0.011
42.47,0.001
42.57,0.045
